num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,average_complexity_with_caching,average_runtime,total_swap_runtime: ,average_swap_runtime: ,total_runtime,loss_history
10000,5,0.0,10600982,6805510,0,0,0,0,0,6805510,17406492,17406492,17406492.0,5.341893911361694,-0.2284438610076904,-inf,5.341893911361694,"[87.43317413330078, 87.43317413330078, 87.43317413330078, 87.43317413330078, 87.43317413330078, 87.43317413330078, 87.43317413330078, 87.43317413330078, 87.43317413330078, 87.43317413330078]"
30000,5,0.0,32089271,21174889,0,0,0,0,0,21174889,53264160,53264160,53264160.0,16.829483032226562,0.0053560733795166,inf,16.829483032226562,"[87.31251525878906, 87.31251525878906, 87.31251525878906, 87.31251525878906, 87.31251525878906, 87.31251525878906, 87.31251525878906, 87.31251525878906, 87.31251525878906, 87.31251525878906]"
50000,5,0.0,54508112,41047892,0,0,0,0,0,41047892,95556004,95556004,95556004.0,28.660415172576904,-0.1194825172424316,-inf,28.660415172576904,"[87.12052154541016, 87.12052154541016, 87.12052154541016, 87.12052154541016, 87.12052154541016, 87.12052154541016, 87.12052154541016, 87.12052154541016, 87.12052154541016, 87.12052154541016]"
70000,5,0.0,73759743,50126936,0,0,0,0,0,50126936,123886679,123886679,123886679.0,39.08111786842346,-0.16282129287719727,-inf,39.08111786842346,"[87.20849609375, 87.20849609375, 87.20849609375, 87.20849609375, 87.20849609375, 87.20849609375, 87.20849609375, 87.20849609375, 87.20849609375, 87.20849609375]"
