num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,average_complexity_with_caching,average_runtime,total_runtime
10000,10,11.395906448364258,80830041,38928663,135959782,5,7599326,99713906,163154227,174888445,255718486,156004580,22659963.666666668,11.998553276062012,71.99131965637207
23333,10,11.321553230285645,211497613,84996055,240581200,6,17822337,261398433,308044034,325577255,537074868,275676435,34368742.85714286,21.8365764277322,152.85603499412537
36666,10,11.284884452819824,204576706,132821966,179699331,3,28055484,236626975,312460949,312521297,517098003,280471028,44924832.75,36.023068726062775,144.0922749042511
50000,10,11.251654624938965,455535523,183100648,758339597,6,38523168,568264533,871097653,941440245,1396975768,828711235,108334228.14285715,55.80991513388498,390.6694059371948
