num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,average_complexity_with_caching,average_runtime,total_runtime
10000,15,11.13443088531494,996243624,36938643,5240202651,7,0,0,0,5277141294,6273384918,6273384918,655025331.375,260.7956103682518,2086.3648829460144
23333,15,11.113669395446776,3180538733,54546552,12114759299,10,0,0,0,12169305851,15349844584,15349844584,1101341754.4545455,452.27263938296926,4974.999033212662
36666,15,11.109579086303713,3596886024,81379118,12845962816,7,0,0,0,12927341934,16524227958,16524227958,1605745352.0,673.4810342490673,5387.848273992538
50000,15,11.103212356567383,3053776045,109403682,11089422991,4,0,0,0,11198826673,14252602718,14252602718,2217884598.2,933.0582405567169,4665.291202783585
