num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,average_complexity_with_caching,average_runtime,total_runtime
10000,15,0.0,110403935,38494046,0,0,0,0,0,38494046,148897981,148897981,0.0,56.03010320663452,56.03010320663452
23333,15,0.0,263590949,57688460,0,0,0,0,0,57688460,321279409,321279409,0.0,123.84408116340636,123.84408116340636
36666,15,0.0,421252266,77157066,0,0,0,0,0,77157066,498409332,498409332,0.0,197.06254529953003,197.06254529953003
50000,15,0.0,569205265,110319529,0,0,0,0,0,110319529,679524794,679524794,0.0,270.47853207588196,270.47853207588196
