num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,average_complexity_with_caching,average_runtime,total_swap_runtime,average_swap_runtime,total_runtime,loss_history
10000,5,0.0,200450000,46348500,42121200,3,31766761,257152939,31766761,88469700,288919700,31766761,7941690.25,6.484448850154877,25.937795400619507,8.645931800206503,25.937795400619507,
10000,10,0.0,400900000,137351100,173462100,3,70409778,641303422,70409778,310813200,711713200,70409778,17602444.5,14.664626836776732,58.65850734710693,19.552835782368977,58.65850734710693,
10000,15,0.0,601350000,270073600,190511100,3,72554544,989380156,72554544,460584700,1061934700,72554544,18138636.0,18.12026697397232,72.48106789588928,24.16035596529643,72.48106789588928,
