num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,average_complexity_with_caching,average_runtime,total_runtime
10000,5,0.7525421380996704,48430599,19286209,95862570,4,7249475,45594267,117840928,115148779,163579378,117985111,19172514.0,8.584229803085327,42.92114901542664
10000,8,0.7134097814559937,90194103,28129055,516934230,7,6745497,96264597,528216729,545063285,635257388,538992791,64616778.75,20.350742399692532,162.80593919754028
10000,10,0.698071300983429,104361040,36182185,1035788107,7,6843171,116948881,1029969131,1071970292,1176331332,1059382451,129473513.375,38.40305536985397,307.2244429588318
