num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,average_complexity_with_caching,average_runtime,total_runtime
10000,5,0.7525421380996704,249733583,17459723,203055092,5,0,0,0,220514815,470248398,470248398,33842515.333333336,20.70186122258504,124.21116733551024
10000,8,0.7134097814559937,535706605,27621356,596847323,7,0,0,0,624468679,1160175284,1160175284,74605915.375,43.417062163352966,347.33649730682373
10000,10,0.698071300983429,681882952,37956489,846816733,7,0,0,0,884773222,1566656174,1566656174,105852091.625,77.04242387413979,616.3393909931183
