num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,average_complexity_with_caching,average_runtime,total_runtime
10000,5,0.7525421380996704,208988922,17547507,153772285,4,0,0,0,171319792,380308714,380308714,30754457.0,22.57057056427002,112.8528528213501
10000,8,0.7134097814559937,611117784,30006562,606794631,8,0,0,0,636801193,1247918977,1247918977,67421625.66666667,42.597924656338165,383.38132190704346
10000,10,0.698071300983429,659880335,37695873,998717471,7,0,0,0,1036413344,1696293679,1696293679,124839683.875,52.43891462683678,419.5113170146942
