num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,average_complexity_with_caching,average_runtime,total_swap_runtime,average_swap_runtime,total_runtime
10000,15,0.0,33176035,25030388,0,0,25199570,48300877,25205262,25030388,58206423,9905546,9905546.0,11.30178928375244,11.30178928375244,0,11.30178928375244
23333,15,0.0,75810080,37933907,0,0,45289303,104486590,45303645,37933907,113743987,9257397,9257397.0,23.344697952270508,23.344697952270508,0,23.344697952270508
36666,15,0.0,120597298,51742081,0,0,64028020,160194093,64044358,51742081,172339379,12145286,12145286.0,39.0346748828888,39.0346748828888,0,39.0346748828888
50000,15,0.0,168045806,56515876,0,0,73898346,219290648,73920208,56515876,224561682,5271034,5271034.0,50.273255825042725,50.273255825042725,0,50.273255825042725
