num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,average_complexity_with_caching,average_runtime,total_runtime
10000,5,282.8895874023437,100150000,56130000,79746000,1,0,0,0,135876000,236026000,236026000,118013000.0,55.07453513145447,110.14907026290894
20000,5,279.77032470703125,200300000,109111500,171371500,1,0,0,0,280483000,480783000,480783000,240391500.0,111.72840309143066,223.45680618286133
30000,5,280.4630432128906,300450000,103144000,196769000,1,0,0,0,299913000,600363000,600363000,300181500.0,135.5314245223999,271.0628490447998
40000,5,279.1261901855469,400600000,140599000,172123000,1,0,0,0,312722000,713322000,713322000,356661000.0,159.82478892803192,319.64957785606384
