num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,average_complexity_with_caching,average_runtime,total_runtime
10000,5,282.3355712890625,100200000,75401000,195000000,1,10000000,120168000,250433000,270401000,370601000,250433000,125216500.0,61.85083210468292,123.70166420936584
20000,5,280.3334045410156,200400000,99434500,39249000,1,20000000,189843000,149240500,138683500,339083500,149240500,74620250.0,36.00226056575775,72.0045211315155
30000,5,279.43475341796875,300600000,117395500,142190500,1,30000000,273133500,287052500,259586000,560186000,287052500,143526250.0,67.52256751060486,135.04513502120972
40000,5,279.2611389160156,400800000,155309500,176881500,1,40000000,361898000,371093000,332191000,732991000,371093000,185546500.0,87.92126059532166,175.8425211906433
