num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,average_complexity_with_caching,average_runtime,total_runtime
10000,10,279.9086608886719,600700000,201354000,1893706000,5,0,0,0,2095060000,2695760000,2695760000,449293333.3333333,212.4898243347804,1274.9389460086825
20000,10,278.21600341796875,400600000,407909500,612273000,1,0,0,0,1020182500,1420782500,1420782500,710391250.0,334.8284286260605,669.656857252121
30000,10,279.21685791015625,600900000,543193000,2537195500,1,0,0,0,3080388500,3681288500,3681288500,1840644250.0,900.7194385528564,1801.438877105713
40000,10,278.5816650390625,801200000,879113000,1209724500,1,0,0,0,2088837500,2890037500,2890037500,1445018750.0,683.9393701553345,1367.878740310669
