num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,average_complexity_with_caching,average_runtime,total_swap_runtime,average_swap_runtime,total_runtime,loss_history
10000,5,0.0,38502315,14767782,35894210,3,29506105,81348890,28351904,50661992,89164307,7815417,1953854.25,10.045486986637115,40.18194794654846,13.393982648849487,40.18194794654846,
10000,10,0.0,72304690,37449710,105242948,3,64780911,205480112,62180258,142692658,214997348,9517236,2379309.0,19.74475073814392,78.97900295257568,26.326334317525227,78.97900295257568,
10000,15,0.0,103667426,81666873,130585555,3,71873591,320286042,69036971,212252428,315919854,-4366188,-1091547.0,31.78549301624298,127.14197206497192,42.38065735499064,127.14197206497192,
