num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,average_complexity_with_caching,average_runtime,total_swap_runtime,average_swap_runtime,total_runtime,loss_history
10000,5,0.0,200450000,151648700,668873000,3,0,0,0,820521700,1020971700,1020971700,255242925.0,612.3809452056885,2449.523780822754,816.507926940918,2449.523780822754,
10000,10,649.8068237304688,200500000,479500200,1370328800,1,0,0,0,1849829000,2050329000,2050329000,1025164500.0,2480.168781042099,4960.337562084198,4960.337562084198,4960.337562084198,
10000,15,0.0,601350000,693242600,4501789100,3,0,0,0,5195031700,5796381700,5796381700,1449095425.0,3509.440393984318,14037.761575937271,4679.253858645757,14037.761575937271,
