num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,average_complexity_with_caching,average_runtime,total_swap_runtime,average_swap_runtime,total_runtime,loss_history
10000,5,0.0,56353525,6849301,38689257,3,0,0,0,45538558,101892083,101892083,25473020.75,4.337758719921112,17.35103487968445,5.783678293228149,17.35103487968445,
10000,10,0.7038456201553345,112817188,20095701,138528262,3,0,0,0,158623963,271441151,271441151,67860287.75,11.126265704631804,44.50506281852722,14.835020939509072,44.50506281852722,
10000,15,0.0,167140634,44120385,174534069,3,0,0,0,218654454,385795088,385795088,96448772.0,15.886721670627594,63.546886682510376,21.182295560836792,63.546886682510376,
