num_swaps,num_data,num_medoids,loss
0,70000,5,87.14940643310547
1,70000,5,86.61070251464844
2,70000,5,86.4780044555664
3,70000,5,86.47071838378906
4,70000,5,86.47071838378906
5,70000,5,86.47071838378906
6,70000,5,86.47071838378906
7,70000,5,86.47071838378906
8,70000,5,86.47071838378906
9,70000,5,86.47071838378906
0,70000,5,7.929253578186035
1,70000,5,7.929253578186035
2,70000,5,7.929253578186035
3,70000,5,7.929253578186035
4,70000,5,7.929253578186035
5,70000,5,7.929253578186035
6,70000,5,7.929253578186035
7,70000,5,7.929253578186035
8,70000,5,7.929253578186035
9,70000,5,7.929253578186035
