num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,average_complexity_with_caching,average_runtime,total_runtime
10000,10,11.3705472946167,118882205,11335210,220948750,12,0,0,0,232283960,351166165,351166165,16996057.692307692,19.519675034743088,253.75577545166016
23333,10,11.31077766418457,212499762,25690672,390193641,9,0,0,0,415884313,628384075,628384075,39019364.1,45.3114856004715,453.11485600471497
36666,10,11.241719245910645,563910376,37579637,908831761,16,0,0,0,946411398,1510321774,1510321774,53460691.823529415,65.86439797457527,1119.6947655677795
50000,10,11.27696704864502,944126261,51896054,1485288893,20,0,0,0,1537184947,2481311208,2481311208,70728042.52380952,90.34801343509129,1897.3082821369171
