num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,average_complexity_with_caching,average_runtime,total_runtime
10000,10,11.333057403564451,60961221,7638154,201349730,20,9639834,232843102,58803661,208987884,269949105,37106003,9588082.38095238,3.094728265489851,64.98929357528687
23333,10,0.0,653814375,17817914,2263904625,100,22437198,2587452482,624092672,2281722539,2935536914,348084432,22414897.27722772,6.434958398932277,649.93079829216
36666,10,11.350471496582031,307607959,25995949,422951304,30,31551792,864099526,22176163,448947253,756555212,-107544314,13643590.451612905,2.961314739719514,91.80075693130492
50000,10,11.248762130737305,358734497,34124701,1802623038,26,48003038,1675132004,645691388,1836747739,2195482236,520350232,66763816.222222224,24.029554049173992,648.7979593276978
