num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,average_complexity_with_caching,average_runtime,total_runtime
10000,10,11.335573196411133,192942894,10885059,882456790,40,0,0,0,893341849,1086284743,1086284743,21523336.341463413,17.8807664150145,733.1114230155945
23333,10,11.217325210571287,466573390,25323468,1574205930,42,0,0,0,1599529398,2066102788,2066102788,36609440.23255814,32.54689081879549,1399.5163052082062
36666,10,11.26833152770996,463595815,38486955,1675221402,26,0,0,0,1713708357,2177304172,2177304172,62045237.11111111,55.19168294800652,1490.175439596176
50000,10,11.248862266540527,719198600,54048715,2299418408,30,0,0,0,2353467123,3072665723,3072665723,74174787.35483871,68.38120669703329,2119.817407608032
