num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,average_complexity_with_caching,average_runtime,total_runtime
100,5,0.7496604919433594,43654,39695,124056,3,0,0,0,163751,207405,207405,31014.0,0.0139247775077819,0.0556991100311279
100,8,0.697756290435791,87125,64618,263016,4,0,0,0,327634,414759,414759,52603.2,0.0223232269287109,0.1116161346435546
100,10,0.6683587431907654,85893,78636,244555,3,0,0,0,323191,409084,409084,61138.75,0.02762824296951294,0.11051297187805176
