num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,average_complexity_with_caching,average_runtime,total_runtime
100,5,0.7496604919433594,43173,39984,25220,3,0,0,0,65204,108377,108377,6305.0,0.0076692700386047,0.0306770801544189
100,8,0.697756290435791,86388,63670,33350,4,0,0,0,97020,183408,183408,6670.0,0.0098813533782958,0.0494067668914794
100,10,0.6683587431907654,86769,80362,25181,3,0,0,0,105543,192312,192312,6295.25,0.012672960758209229,0.050691843032836914
