num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,average_complexity_with_caching,average_runtime,total_runtime
100,5,0.7496604919433594,43830,40155,123515,3,0,0,0,163670,207500,207500,30878.75,0.0145992636680603,0.0583970546722412
100,8,0.697756290435791,87577,64521,265055,4,0,0,0,329576,417153,417153,53011.0,0.0252020359039306,0.1260101795196533
100,10,0.6683587431907654,85658,79334,239515,3,0,0,0,318849,404507,404507,59878.75,0.02593374252319336,0.10373497009277344
