num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,average_complexity_with_caching,average_runtime,total_runtime
10000,15,0.0,19597779,47344002,0,0,26320586,41461170,28913460,47344002,66941781,25480611,0.0,13.527660131454468,13.527660131454468
23333,15,0.0,46740319,119948952,0,0,73795347,92838075,81361619,119948952,166689271,73851196,0.0,36.21725487709045,36.21725487709045
36666,15,0.0,75486392,194625919,0,0,124410940,144280487,136740084,194625919,270112311,125831824,0.0,60.319530963897705,60.319530963897705
50000,15,0.0,99719875,296684615,0,0,191707115,203708763,210870803,296684615,396404490,192695727,0.0,86.54664587974548,86.54664587974548
