num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,average_complexity_with_caching,average_runtime,total_swap_runtime,average_swap_runtime,total_runtime
10000,15,279.99285888671875,1952250000,126811300,2388000000,12,100000000,4367061300,100000000,2514811300,4467061300,100000000,7692307.692307692,7.9552525373605585,91.47149920463562,7.622624933719635,103.41828298568726
20000,15,279.3867492675781,3904500000,276738200,9575973100,12,400000000,13357211300,400000000,9852711300,13757211300,400000000,30769230.769230768,27.946969912602352,333.70258688926697,27.808548907438915,363.31060886383057
40000,15,277.74273681640625,7208400000,900551900,35151627000,11,1600000000,41660578900,1600000000,36052178900,43260578900,1600000000,133333333.33333331,111.05091534058252,1265.256291389465,115.02329921722412,1332.6109840869904
10000,15,279.99285888671875,1952250000,126811300,2388000000,12,100000000,4367061300,100000000,2514811300,4467061300,100000000,7692307.692307692,7.89397485439594,90.67488932609558,7.556240777174632,102.62167310714722
20000,15,279.3867492675781,3904500000,276738200,9575973100,12,400000000,13357211300,400000000,9852711300,13757211300,400000000,30769230.769230768,27.83222400225126,332.2108900547028,27.684240837891892,361.8189120292664
40000,15,277.74273681640625,7208400000,900551900,35151627000,11,1600000000,41660578900,1600000000,36052178900,43260578900,1600000000,133333333.33333333,110.86179741223653,1262.9868762493134,114.81698874993758,1330.3415689468384
