num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,average_complexity_with_caching,average_runtime,total_runtime
10000,10,11.34836769104004,451911998,36560853,166417315,6,0,0,0,202978168,654890166,654890166,23773902.14285714,26.65596069608416,186.5917248725891
23333,10,11.26337432861328,877882224,82632210,221524460,5,0,0,0,304156670,1182038894,1182038894,36920743.333333336,56.77228764692942,340.63372588157654
36666,10,11.273737907409668,2052643231,130745676,638084118,8,0,0,0,768829794,2821473025,2821473025,70898235.33333333,89.96764047940572,809.7087643146515
50000,10,11.241371154785156,2189775658,176116104,662246925,6,0,0,0,838363029,3028138687,3028138687,94606703.57142857,124.62248843056815,872.357419013977
