num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,average_complexity_with_caching,average_runtime,total_runtime
10000,10,11.327370643615724,146779268,11866471,214992549,15,0,0,0,226859020,373638288,373638288,13437034.3125,16.66558761894703,266.64940190315247
23333,10,11.316010475158691,213201394,26342810,409095308,9,0,0,0,435438118,648639512,648639512,40909530.8,46.9257199048996,469.257199048996
36666,10,11.242753028869629,464879377,38554681,735407653,13,0,0,0,773962334,1238841711,1238841711,52529118.071428575,65.89201058660235,922.4881482124329
