num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,average_complexity_with_caching,average_runtime,total_runtime
10000,5,11.849590301513672,26950596,18841339,28539737,2,7771663,25093600,52260884,47381076,74331672,49238072,16412690.666666666,6.842994372049968,20.528983116149902
23333,5,11.673940658569336,119222999,42358863,196247363,6,17859365,139333330,228435997,238606226,357829225,218495895,31213699.285714287,13.990066732679097,97.93046712875366
36666,5,11.703527450561523,126023722,66133948,123322407,3,28006522,131170982,201503662,189456355,315480077,184309095,46077273.75,21.097968995571136,84.39187598228455
50000,5,11.71079158782959,187013984,89936247,223667761,4,38367153,203562517,323878207,313604008,500617992,297055475,59411095.0,28.29599237442017,141.47996187210083
10000,5,11.849590301513672,25898819,18121284,28524553,2,7667291,24232398,51594999,46645837,72544656,48312258,16104086.0,6.666464010874431,19.99939203262329
23333,5,11.673940658569336,117191900,41544914,193638695,6,17794983,135594935,225613611,235183609,352375509,216780574,30968653.42857143,13.925825255257744,97.4807767868042
36666,5,11.703527450561523,113091665,66432120,128475335,3,27987257,112364179,206568063,194907455,307999120,195634941,48908735.25,21.759912490844727,87.0396499633789
50000,5,11.71079158782959,185337001,87213054,238807107,4,38257166,201389680,333565924,326020161,511357162,309967482,61993496.4,29.02495942115784,145.12479710578918
