num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,average_complexity_with_caching,average_runtime,total_runtime
10000,10,11.366659164428713,57314665,38709480,413001577,3,7622120,66123000,395495142,451711057,509025722,442902722,110725680.5,31.17686301469803,124.70745205879211
23333,10,11.301231384277344,217708716,87109885,2061674274,6,17711506,268336722,1812092072,2148784159,2366492875,2098156153,299736593.28571427,81.90779958452497,573.3545970916748
36666,10,11.240558624267578,266278313,139307059,1544689010,4,27938884,319666017,1456445945,1683996069,1950274382,1630608365,326121673.0,96.55221662521362,482.7610831260681
50000,10,11.244022369384766,511845967,190213733,4819503749,7,38269450,638895689,4284865405,5009717482,5521563449,4882667760,610333470.0,168.74906873703003,1349.9925498962402
