num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,average_complexity_with_caching,average_runtime,total_runtime
10000,10,11.34259796142578,392382497,38275716,706027724,5,0,0,0,744303440,1136685937,1136685937,189447656.16666663,45.22006336847941,271.32038021087646
23333,10,11.353887557983398,740412800,86812333,1275570111,4,0,0,0,1362382444,2102795244,2102795244,420559048.8,103.29071860313417,516.4535930156708
36666,10,11.26794719696045,1153738350,132472478,2050576031,4,0,0,0,2183048509,3336786859,3336786859,667357371.8,160.37092385292053,801.8546192646027
50000,10,11.256234169006348,1863480088,180338296,3474942415,5,0,0,0,3655280711,5518760799,5518760799,919793466.5,219.4808433453242,1316.8850600719452
