num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,average_complexity_with_caching,average_runtime,total_runtime
10000,15,0.0,100143011,68573308,0,0,0,0,0,68573308,168716319,168716319,0.0,47.3357298374176,47.3357298374176
23333,15,0.0,237007410,205742723,0,0,0,0,0,205742723,442750133,442750133,0.0,121.90918707847597,121.90918707847597
36666,15,0.0,373336560,289431380,0,0,0,0,0,289431380,662767940,662767940,0.0,183.2612040042877,183.2612040042877
50000,15,0.0,509581479,477367351,0,0,0,0,0,477367351,986948830,986948830,0.0,269.5134949684143,269.5134949684143
