num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,average_complexity_with_caching,average_runtime,total_runtime
10000,10,0.0,15131795,27452259,0,0,19957105,22236037,21950687,27452259,42584054,20348017,0.0,9.57985496520996,9.57985496520996
23333,10,0.0,34806185,67351702,0,0,53969607,44973992,59740776,67351702,102157887,57183895,0.0,25.267868995666504,25.267868995666504
36666,10,0.0,57532868,108553184,0,0,86205307,74931322,94978930,108553184,166086052,91154730,0.0,41.298091173172,41.298091173172
50000,10,0.0,87322936,205288495,0,0,146144705,140997719,160444358,205288495,292611431,151613712,0.0,65.95717310905457,65.95717310905457
