num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,average_complexity_with_caching,average_runtime,total_swap_runtime: ,total_runtime,average_swap_runtime
10000,10,11.29529857635498,41789343,7617971,123560116,2,86410390,94933706,86435426,131178087,172967430,78033724,26011241.33333333,9.902240673700968,23.59925079345703,29.706722021102905,11.799625396728516
23333,10,11.296093940734863,170906534,15001214,381349635,5,199202376,389761433,199256736,396350849,567257383,177495950,29582658.33333333,15.193167169888817,76.66245937347412,91.15900301933289,15.332491874694824
36666,10,11.240982055664062,452679117,23143783,1029615632,10,344518896,1211604812,344608817,1052759415,1505438532,293833720,26712156.363636363,19.699645454233345,191.41405296325684,216.6960999965668,19.141405296325683
50000,10,11.242232322692873,643365170,26946889,1195179924,10,445231474,1468984381,445276533,1222126813,1865491983,396507602,36046145.63636363,27.57512044906616,269.0301480293274,303.3263249397278,26.903014802932734
