num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,average_complexity_with_caching,average_runtime,total_swap_runtime,average_swap_runtime,total_runtime
10000,10,280.5549011230469,801000000,76196100,1393000000,7,100000000,2170196100,100000000,1469196100,2270196100,100000000,12500000.0,9.540665835142136,66.58991074562073,9.512844392231532,76.32532668113708
20000,10,279.9678649902344,1802200000,156477000,5042560300,8,400000000,6601237300,400000000,5199037300,7001237300,400000000,44444444.44444445,30.66017680697971,252.91130304336548,31.613912880420685,275.9415912628174
30000,10,0.0,3303900000,318281500,12026224000,10,900000000,14748405500,900000000,12344505500,15648405500,900000000,81818181.81818181,56.43279509110885,581.815062046051,58.1815062046051,620.7607460021973
40000,10,279.595458984375,2403200000,355794800,13219982000,5,1600000000,14378976800,1600000000,13575776800,15978976800,1600000000,266666666.66666666,164.24574720859528,924.6207444667816,184.92414889335632,985.4744832515717
