num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,average_complexity_with_caching,average_runtime,total_swap_runtime: ,total_runtime,average_swap_runtime
10000,5,281.6143493652344,100200000,17782100,141389500,1,0,0,0,159171600,259371600,259371600,129685800.0,58.9403840303421,87.01798105239868,117.8807680606842,87.01798105239868
20000,5,279.36767578125,200400000,54737800,246879200,1,0,0,0,301617000,502017000,502017000,251008500.0,113.71756553649902,156.38339018821716,227.43513107299805,156.38339018821716
30000,5,0.0,450750000,52975200,559353200,2,0,0,0,612328400,1063078400,1063078400,354359466.6666667,160.78043508529663,391.3036372661591,482.3413052558899,195.6518186330796
40000,5,0.0,601000000,72795600,1013262500,2,0,0,0,1086058100,1687058100,1687058100,562352700.0,257.97523760795593,652.1485657691956,773.9257128238678,326.0742828845978
