num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,average_complexity_with_caching,average_runtime,total_swap_runtime,average_swap_runtime,total_runtime
10000,5,0.0,150350000,36022100,311634900,2,100000000,398007000,100000000,347657000,498007000,100000000,33333333.33333333,14.098942438761394,42.447540283203125,21.22377014160156,51.29682731628418
10000,10,0.0,300700000,89124300,311554100,2,100000000,601378400,100000000,400678400,701378400,100000000,33333333.33333333,18.143813053766888,44.6960232257843,22.34801161289215,54.43143916130066
10000,15,0.0,451050000,141578600,311503600,2,100000000,804132200,100000000,453082200,904132200,100000000,33333333.33333333,20.87739531199137,44.685402154922485,22.342701077461243,56.63218593597412
10000,15,0.0,451050000,141578600,311503600,2,100000000,804132200,100000000,453082200,904132200,100000000,33333333.333333332,18.71560827891032,44.20004105567932,22.10002052783966,56.14682483673096
