num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,average_complexity_with_caching,average_runtime,total_swap_runtime,average_swap_runtime,total_runtime,loss_history
10000,5,7.902042388916016,37541711,6392464,127547808,4,41627465,251973254,40569034,133940272,171481983,-80491271,-16098254.2,10.482644891738891,52.41322445869446,13.103306114673616,52.41322445869446,
30000,5,0.0,126550697,21197537,583028390,5,232605415,792960223,221187985,604225927,730776624,-62183599,-10363933.166666666,36.22996505101522,217.3797903060913,43.475958061218265,217.3797903060913,
50000,5,7.835681438446045,180683147,33901750,715680776,4,282452588,1334287083,275152283,749582526,930265673,-404021410,-80804282.0,57.48963499069214,287.4481749534607,71.86204373836517,287.4481749534607,
70000,5,7.846098899841309,208238974,49932194,718256625,3,354076914,1046701060,336305217,768188819,976427793,-70273267,-17568316.75,79.04799151420593,316.19196605682373,105.39732201894124,316.19196605682373,
10000,5,7.902042388916016,33219141,5778094,90586099,4,40562458,249379705,39106555,96364193,129583334,-119796371,-23959274.2,6.957095193862915,34.785475969314575,8.696368992328644,34.785475969314575,
30000,5,0.0,96120709,15341081,453278953,5,219925372,835680208,205963729,468620034,564740743,-270939465,-45156577.5,28.82977569103241,172.97865414619446,34.59573082923889,172.97865414619446,
50000,5,7.835681438446045,164986980,30422737,581155187,4,282590553,1338359820,274220814,611577924,776564904,-561794916,-112358983.2,39.54716067314148,197.7358033657074,49.43395084142685,197.7358033657074,
70000,5,7.846098899841309,154322016,35939503,510870018,3,325714908,962309459,305051377,546809521,701131537,-261177922,-65294480.5,54.98664981126785,219.9465992450714,73.31553308169048,219.9465992450714,
