num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,average_complexity_with_caching,average_runtime,total_swap_runtime,average_swap_runtime,total_runtime,loss_history
10000,5,0.0,97162296,9479073,305015287,5,0,0,0,314494360,411656656,411656656,68609442.66666667,13.31415073076884,79.88490438461304,15.976980876922608,79.88490438461304,
30000,5,0.0,243086034,21917037,822683388,5,0,0,0,844600425,1087686459,1087686459,181281076.5,38.17323807875315,229.0394284725189,45.80788569450378,229.0394284725189,
50000,5,7.842392444610596,434216475,46808604,1395247520,5,0,0,0,1442056124,1876272599,1876272599,312712099.8333333,62.52336279551188,375.1401767730713,75.02803535461426,375.1401767730713,
70000,5,7.871136665344238,472506642,58000229,1460994563,4,0,0,0,1518994792,1991501434,1991501434,398300286.8,84.9723072052002,424.861536026001,106.21538400650024,424.861536026001,
