num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,average_complexity_with_caching,average_runtime,total_runtime
10000,5,281.6143493652344,100150000,46753000,72178500,1,0,0,0,118931500,219081500,219081500,109540750.0,48.89565205574036,97.79130411148073
20000,5,279.380859375,300400000,120792500,293195000,2,0,0,0,413987500,714387500,714387500,238129166.66666663,108.46688667933148,325.4006600379944
30000,5,280.163330078125,300450000,108500000,180749500,1,0,0,0,289249500,589699500,589699500,294849750.0,129.8706350326538,259.7412700653076
40000,5,279.462890625,400600000,154690500,231856500,1,0,0,0,386547000,787147000,787147000,393573500.0,173.29537653923035,346.5907530784607
