num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,average_complexity_with_caching,average_runtime,total_runtime
10000,5,282.8895874023437,100200000,56130000,48151000,1,0,0,0,104281000,204481000,204481000,102240500.0,47.9843213558197,95.9686427116394
20000,5,279.77032470703125,200400000,109111500,86264000,1,0,0,0,195375500,395775500,395775500,197887750.0,92.73963403701782,185.47926807403564
30000,5,280.4630432128906,300600000,103144000,96278500,1,0,0,0,199422500,500022500,500022500,250011250.0,111.93543148040771,223.87086296081543
40000,5,279.1261901855469,400800000,140599000,49804000,1,0,0,0,190403000,591203000,591203000,295601500.0,133.76983606815338,267.53967213630676
