num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,average_complexity_with_caching,average_runtime,total_swap_runtime: ,total_runtime,loss_history
10000,10,0.0,100300000,138373100,0,0,0,0,0,138373100,238673100,238673100,238673100.0,112.03584694862366,112.03584694862366,112.03584694862366,"[280.5405578613281, 280.5405578613281, 280.5405578613281, 280.5405578613281, 280.5405578613281, 280.5405578613281, 280.5405578613281, 280.5405578613281, 280.5405578613281, 280.5405578613281]"
20000,10,0.0,200600000,345618600,0,0,0,0,0,345618600,546218600,546218600,546218600.0,264.2553598880768,264.2553598880768,264.2553598880768,"[278.4371337890625, 278.4371337890625, 278.4371337890625, 278.4371337890625, 278.4371337890625, 278.4371337890625, 278.4371337890625, 278.4371337890625, 278.4371337890625, 278.4371337890625]"
30000,10,0.0,300900000,435786800,0,0,0,0,0,435786800,736686800,736686800,736686800.0,351.8040051460266,351.8040051460266,351.8040051460266,"[278.4997253417969, 278.4997253417969, 278.4997253417969, 278.4997253417969, 278.4997253417969, 278.4997253417969, 278.4997253417969, 278.4997253417969, 278.4997253417969, 278.4997253417969]"
40000,10,0.0,401200000,487960800,0,0,0,0,0,487960800,889160800,889160800,889160800.0,411.2543890476227,411.2543890476227,411.2543890476227,"[278.43133544921875, 278.43133544921875, 278.43133544921875, 278.43133544921875, 278.43133544921875, 278.43133544921875, 278.43133544921875, 278.43133544921875, 278.43133544921875, 278.43133544921875]"
