num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,average_complexity_with_caching,average_runtime,total_swap_runtime: ,total_runtime,loss_history
10000,10,0.0,100300000,68764000,0,0,16964118,152099882,16964118,68764000,169064000,16964118,16964118.0,9.735415935516356,9.735415935516356,9.735415935516356,"[281.7578430175781, 281.7578430175781, 281.7578430175781, 281.7578430175781, 281.7578430175781, 281.7578430175781, 281.7578430175781, 281.7578430175781, 281.7578430175781, 281.7578430175781]"
20000,10,0.0,200600000,181166000,0,0,38375409,343390591,38375409,181166000,381766000,38375409,38375409.0,23.030288219451904,23.030288219451904,23.030288219451904,"[279.5096740722656, 279.5096740722656, 279.5096740722656, 279.5096740722656, 279.5096740722656, 279.5096740722656, 279.5096740722656, 279.5096740722656, 279.5096740722656, 279.5096740722656]"
30000,10,0.0,300900000,287943200,0,0,64884658,523958542,64884658,287943200,588843200,64884658,64884658.0,38.94568395614624,38.94568395614624,38.94568395614624,"[279.5026550292969, 279.5026550292969, 279.5026550292969, 279.5026550292969, 279.5026550292969, 279.5026550292969, 279.5026550292969, 279.5026550292969, 279.5026550292969, 279.5026550292969]"
40000,10,0.0,401200000,451247700,0,0,99099124,753348576,99099124,451247700,852447700,99099124,99099124.0,60.85373878479004,60.85373878479004,60.85373878479004,"[279.4934387207031, 279.4934387207031, 279.4934387207031, 279.4934387207031, 279.4934387207031, 279.4934387207031, 279.4934387207031, 279.4934387207031, 279.4934387207031, 279.4934387207031]"
