num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,average_complexity_with_caching,average_runtime,total_runtime,loss_history
10000,5,0.0,13607032,3399094,0,0,10577584,11382629,10581834,3399094,17006126,5623497,5623497.0,3.9016289710998535,3.9016289710998535,"[11.822249412536621, 11.822249412536621, 11.822249412536621, 11.822249412536621, 11.822249412536621, 11.822249412536621, 11.822249412536621, 11.822249412536621, 11.822249412536621, 11.822249412536621]"
23333,5,0.0,29738236,6610540,0,0,23396234,22999510,23405775,6610540,36348776,13349266,13349266.0,9.493360996246338,9.493360996246338,"[11.778193473815918, 11.778193473815918, 11.778193473815918, 11.778193473815918, 11.778193473815918, 11.778193473815918, 11.778193473815918, 11.778193473815918, 11.778193473815918, 11.778193473815918]"
36666,5,0.0,47164727,11873828,0,0,37772565,36638139,37789343,11873828,59038555,22400416,22400416.0,16.399694204330444,16.399694204330444,"[11.794366836547852, 11.794366836547852, 11.794366836547852, 11.794366836547852, 11.794366836547852, 11.794366836547852, 11.794366836547852, 11.794366836547852, 11.794366836547852, 11.794366836547852]"
50000,5,0.0,64182548,14643798,0,0,49745167,49421989,49764937,14643798,78826346,29404357,29404357.0,23.53144073486328,23.53144073486328,"[11.824380874633789, 11.824380874633789, 11.824380874633789, 11.824380874633789, 11.824380874633789, 11.824380874633789, 11.824380874633789, 11.824380874633789, 11.824380874633789, 11.824380874633789]"
