num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,average_complexity_with_caching,average_runtime,total_runtime,loss_history
10000,10,0.0,17832496,29065630,0,0,18185574,41219156,18168259,29065630,46898126,5678970,5678970.0,5.204318046569824,5.204318046569824,"[79.93257904052734, 79.93257904052734, 79.93257904052734, 79.93257904052734, 79.93257904052734, 79.93257904052734, 79.93257904052734, 79.93257904052734, 79.93257904052734, 79.93257904052734]"
30000,10,0.0,48948060,94915729,0,0,61322887,116857136,61252970,94915729,143863789,27006653,27006653.0,17.391622304916382,17.391622304916382,"[79.86839294433594, 79.86839294433594, 79.86839294433594, 79.86839294433594, 79.86839294433594, 79.86839294433594, 79.86839294433594, 79.86839294433594, 79.86839294433594, 79.86839294433594]"
50000,10,0.0,81027400,129296127,0,0,94476503,164422426,94436356,129296127,210323527,45901101,45901101.0,29.40824818611145,29.40824818611145,"[79.67792510986328, 79.67792510986328, 79.67792510986328, 79.67792510986328, 79.67792510986328, 79.67792510986328, 79.67792510986328, 79.67792510986328, 79.67792510986328, 79.67792510986328]"
70000,10,0.0,123264558,226199059,0,0,161631642,262062900,161466475,226199059,349463617,87400717,87400717.0,50.67764210700989,50.67764210700989,"[79.36634063720703, 79.36634063720703, 79.36634063720703, 79.36634063720703, 79.36634063720703, 79.36634063720703, 79.36634063720703, 79.36634063720703, 79.36634063720703, 79.36634063720703]"
