num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,average_complexity_with_caching,average_runtime,total_runtime,loss_history
10000,5,0.0,10099773,16119253,0,0,13887132,17793087,13883191,16119253,26219026,8425939,8425939.0,3.1455652713775635,3.1455652713775635,"[87.43317413330078, 87.43317413330078, 87.43317413330078, 87.43317413330078, 87.43317413330078, 87.43317413330078, 87.43317413330078, 87.43317413330078, 87.43317413330078, 87.43317413330078]"
30000,5,0.0,27949584,42016964,0,0,38220596,45951998,38196872,42016964,69966548,24014550,24014550.0,9.20703911781311,9.20703911781311,"[87.31251525878906, 87.31251525878906, 87.31251525878906, 87.31251525878906, 87.31251525878906, 87.31251525878906, 87.31251525878906, 87.31251525878906, 87.31251525878906, 87.31251525878906]"
50000,5,0.0,43945882,63866030,0,0,61253494,68873487,61212832,63866030,107811912,38938425,38938425.0,17.3700590133667,17.3700590133667,"[87.0766830444336, 87.0766830444336, 87.0766830444336, 87.0766830444336, 87.0766830444336, 87.0766830444336, 87.0766830444336, 87.0766830444336, 87.0766830444336, 87.0766830444336]"
70000,5,0.0,62246216,106270764,0,0,96251454,105067916,96171428,106270764,168516980,63449064,63449064.0,27.89803385734558,27.89803385734558,"[87.20849609375, 87.20849609375, 87.20849609375, 87.20849609375, 87.20849609375, 87.20849609375, 87.20849609375, 87.20849609375, 87.20849609375, 87.20849609375]"
